trip_id,user_id,driver_id,city,state,request_time,pickup_time,dropoff_time,distance_km,base_fare,surge_multiplier,surge_amount,discount,tolls,fare_total,ride_category,payment_method,status,wait_time_min,trip_time_min,rating,vehicle
65,user_1129,driver_202,Rio de Janeiro,PR,2024-12-12 03:09:00,2024-12-12 03:14:00,2024-12-12 03:33:00,5.77,15.44,1.0,0.0,1.29,7.84,21.99,Uber Black,Cartão,Concluída,5,19,3.1,Civic
66,user_770,driver_147,Porto Alegre,RJ,2024-10-06 18:18:00,2024-10-06 18:29:00,2024-10-06 18:41:00,20.88,47.81,2.0,47.81,2.46,3.96,97.12,Uber Black,Dinheiro,Concluída,11,12,3.6,Civic
67,user_360,driver_544,Porto Alegre,PR,2024-01-05 15:36:00,2024-01-05 15:38:00,2024-01-05 16:00:00,22.72,66.96,1.0,0.0,3.86,0.29,63.39,UberX,Pix,Concluída,2,22,4.3,Creta
68,user_118,driver_293,Rio de Janeiro,PE,2024-02-14 22:46:00,2024-02-14 22:58:00,2024-02-14 23:28:00,18.7,40.48,1.0,0.0,1.03,3.81,43.26,Uber Black,Dinheiro,Concluída,12,30,3.0,HB20
69,user_464,driver_325,Rio de Janeiro,MG,2024-05-26 01:44:00,2024-05-26 01:58:00,2024-05-26 02:32:00,2.21,5.77,1.0,0.0,2.4,6.42,9.79,Uber Black,Pix,Concluída,14,34,4.8,Civic
70,user_951,driver_106,Brasília,PR,2024-08-19 06:54:00,2024-08-19 07:00:00,2024-08-19 07:10:00,3.9,10.5,2.0,10.5,0.7,9.03,29.33,Uber Black,Pix,Concluída,6,10,4.9,HB20
71,user_756,driver_349,São Paulo,RJ,2024-01-21 10:58:00,2024-01-21 11:08:00,2024-01-21 11:37:00,20.95,37.44,2.0,37.44,3.69,8.69,79.88,UberX,Cartão,Concluída,10,29,3.7,Kwid
72,user_629,driver_334,Porto Alegre,DF,2024-04-07 06:49:00,2024-04-07 07:00:00,2024-04-07 07:32:00,12.56,33.82,1.0,0.0,0.18,1.62,35.26,Uber Comfort,Cartão,Cancelada,11,32,4.2,Argo
73,user_754,driver_341,Recife,PR,2024-08-15 07:42:00,2024-08-15 07:45:00,2024-08-15 07:58:00,23.29,40.65,1.0,0.0,3.81,3.51,40.35,Uber Black,Pix,Concluída,3,13,4.1,Onix
74,user_789,driver_235,Belo Horizonte,SP,2024-03-23 12:47:00,2024-03-23 12:48:00,2024-03-23 13:11:00,7.75,15.92,1.0,0.0,1.8,0.04,14.16,Uber Comfort,Cartão,Em andamento,1,23,3.4,Corolla
75,user_616,driver_65,Salvador,RJ,2024-03-16 05:02:00,2024-03-16 05:03:00,2024-03-16 05:25:00,17.58,51.78,1.5,25.89,4.74,5.46,78.39,UberX,Dinheiro,Concluída,1,22,3.7,Compass
76,user_557,driver_104,São Paulo,RJ,2024-03-14 01:26:00,2024-03-14 01:29:00,2024-03-14 02:03:00,24.84,41.54,1.0,0.0,4.01,7.35,44.88,Uber Comfort,Pix,Concluída,3,34,4.5,Corolla
77,user_730,driver_111,Rio de Janeiro,SP,2024-09-01 16:51:00,2024-09-01 16:58:00,2024-09-01 17:56:00,13.37,32.91,1.0,0.0,0.02,4.16,37.05,Uber Comfort,Cartão,Cancelada,7,58,4.4,Creta
78,user_855,driver_376,Recife,MG,2024-12-28 02:21:00,2024-12-28 02:32:00,2024-12-28 03:14:00,21.5,42.63,2.0,42.63,3.16,7.67,89.77,UberX,Dinheiro,Concluída,11,42,3.5,HB20
79,user_181,driver_48,Belo Horizonte,MG,2024-05-26 07:01:00,2024-05-26 07:13:00,2024-05-26 08:04:00,28.69,63.43,2.0,63.43,4.63,6.58,128.81,UberX,Dinheiro,Concluída,12,51,4.9,Compass
80,user_689,driver_517,São Paulo,DF,2024-08-28 17:44:00,2024-08-28 17:52:00,2024-08-28 18:49:00,2.22,5.98,2.0,5.98,4.88,0.04,7.12,Uber Comfort,Dinheiro,Concluída,8,57,3.4,Creta
81,user_105,driver_297,Curitiba,BA,2024-06-02 16:57:00,2024-06-02 17:04:00,2024-06-02 17:50:00,13.16,28.51,2.0,28.51,0.38,8.12,64.76,Uber Comfort,Cartão,Concluída,7,46,4.4,Onix
82,user_694,driver_471,Curitiba,MG,2024-01-24 04:44:00,2024-01-24 04:54:00,2024-01-24 05:24:00,20.97,56.8,2.0,56.8,3.18,6.26,116.68,Uber Black,Cartão,Concluída,10,30,4.7,Creta
83,user_763,driver_396,Rio de Janeiro,MG,2024-07-13 18:59:00,2024-07-13 19:07:00,2024-07-13 19:47:00,10.36,28.55,1.5,14.28,2.36,6.59,47.06,Uber Black,Dinheiro,Concluída,8,40,3.2,Gol
84,user_283,driver_307,Curitiba,BA,2024-03-27 11:42:00,2024-03-27 11:55:00,2024-03-27 12:10:00,19.88,53.36,1.0,0.0,4.11,1.97,51.22,UberX,Cartão,Concluída,13,15,4.4,Corolla
85,user_58,driver_309,Porto Alegre,DF,2024-01-25 02:08:00,2024-01-25 02:16:00,2024-01-25 03:03:00,4.59,10.81,1.5,5.41,0.69,1.48,17.01,UberX,Pix,Cancelada,8,47,4.2,Corolla
86,user_1118,driver_388,Salvador,PR,2024-01-25 07:17:00,2024-01-25 07:26:00,2024-01-25 08:11:00,14.4,25.99,1.5,12.99,3.89,4.13,39.22,UberX,Pix,Concluída,9,45,3.1,Creta
87,user_75,driver_108,Brasília,RJ,2024-04-02 01:37:00,2024-04-02 01:51:00,2024-04-02 02:03:00,7.78,15.0,1.5,7.5,3.59,6.0,24.91,Uber Black,Pix,Concluída,14,12,4.2,Renegade
88,user_1141,driver_108,São Paulo,SP,2024-01-13 00:42:00,2024-01-13 00:54:00,2024-01-13 01:24:00,21.69,48.86,1.5,24.43,2.16,9.84,80.97,Uber Comfort,Pix,Em andamento,12,30,4.4,Argo
89,user_78,driver_318,Recife,DF,2024-05-03 21:40:00,2024-05-03 21:41:00,2024-05-03 22:07:00,23.35,55.37,2.0,55.37,1.5,6.12,115.36,UberX,Dinheiro,Concluída,1,26,4.1,HB20
90,user_311,driver_240,São Paulo,RS,2024-06-08 16:01:00,2024-06-08 16:13:00,2024-06-08 16:57:00,12.66,20.76,1.0,0.0,2.9,1.18,19.04,Uber Black,Pix,Concluída,12,44,4.0,Creta
91,user_393,driver_200,Rio de Janeiro,SP,2024-06-15 07:40:00,2024-06-15 07:55:00,2024-06-15 08:12:00,25.49,74.12,1.0,0.0,3.01,5.03,76.14,UberX,Pix,Concluída,15,17,3.2,Onix
92,user_557,driver_111,Recife,RS,2024-03-27 05:12:00,2024-03-27 05:13:00,2024-03-27 06:02:00,12.79,34.23,2.0,34.23,2.82,2.71,68.35,Uber Comfort,Dinheiro,Concluída,1,49,4.1,Onix
93,user_792,driver_394,Salvador,DF,2024-01-25 09:20:00,2024-01-25 09:30:00,2024-01-25 10:22:00,17.44,41.16,1.0,0.0,0.99,7.34,47.51,Uber Comfort,Pix,Concluída,10,52,4.3,HB20
94,user_486,driver_216,Recife,BA,2024-07-12 01:52:00,2024-07-12 01:56:00,2024-07-12 02:11:00,12.6,27.61,1.5,13.8,1.43,1.73,41.71,UberX,Dinheiro,Concluída,4,15,4.1,HB20
95,user_446,driver_134,Belo Horizonte,DF,2024-07-23 04:36:00,2024-07-23 04:44:00,2024-07-23 05:00:00,4.64,10.35,1.5,5.17,2.27,5.95,19.2,Uber Comfort,Dinheiro,Concluída,8,16,3.1,Kwid
96,user_291,driver_544,Rio de Janeiro,RS,2024-05-25 00:51:00,2024-05-25 01:06:00,2024-05-25 01:28:00,12.05,34.84,1.0,0.0,2.62,9.29,41.51,Uber Black,Pix,Concluída,15,22,4.9,Compass
97,user_654,driver_354,Rio de Janeiro,RS,2024-01-21 16:22:00,2024-01-21 16:34:00,2024-01-21 17:05:00,22.46,43.1,1.0,0.0,0.49,5.33,47.94,Uber Black,Dinheiro,Concluída,12,31,4.9,Creta
98,user_869,driver_395,Brasília,DF,2024-03-24 01:43:00,2024-03-24 01:49:00,2024-03-24 02:32:00,11.6,32.56,1.0,0.0,3.67,8.28,37.17,UberX,Pix,Cancelada,6,43,4.9,Gol
99,user_842,driver_183,São Paulo,SP,2024-05-29 19:47:00,2024-05-29 19:50:00,2024-05-29 20:13:00,29.48,53.04,1.5,26.52,1.03,9.51,88.04,Uber Comfort,Pix,Concluída,3,23,3.5,Corolla
100,user_722,driver_82,Recife,RJ,2024-09-06 16:53:00,2024-09-06 17:04:00,2024-09-06 17:45:00,21.6,57.04,1.0,0.0,1.52,3.83,59.35,UberX,Pix,Cancelada,11,41,3.6,Compass
101,user_1176,driver_286,Rio de Janeiro,MG,2024-08-18 16:04:00,2024-08-18 16:08:00,2024-08-18 16:18:00,5.21,10.34,1.0,0.0,1.38,8.03,16.99,Uber Black,Pix,Concluída,4,10,3.3,Argo
102,user_258,driver_270,Rio de Janeiro,SP,2024-10-01 04:06:00,2024-10-01 04:17:00,2024-10-01 04:41:00,25.79,66.28,2.0,66.28,1.5,5.93,136.99,Uber Comfort,Dinheiro,Em andamento,11,24,3.3,Creta
103,user_451,driver_589,Curitiba,MG,2024-02-14 22:25:00,2024-02-14 22:39:00,2024-02-14 23:04:00,6.98,18.46,1.0,0.0,2.72,9.93,25.67,Uber Comfort,Dinheiro,Concluída,14,25,3.6,HB20
104,user_780,driver_175,Rio de Janeiro,RJ,2024-10-24 04:03:00,2024-10-24 04:11:00,2024-10-24 04:46:00,13.15,39.3,1.5,19.65,4.68,8.9,63.17,UberX,Cartão,Cancelada,8,35,3.1,Civic
105,user_507,driver_358,São Paulo,MG,2024-06-08 13:54:00,2024-06-08 13:58:00,2024-06-08 14:46:00,11.73,26.53,1.0,0.0,3.99,1.89,24.43,Uber Black,Cartão,Cancelada,4,48,4.0,HB20
106,user_733,driver_284,Brasília,PR,2024-01-24 10:08:00,2024-01-24 10:23:00,2024-01-24 10:41:00,13.76,40.62,1.5,20.31,4.4,3.68,60.21,Uber Comfort,Dinheiro,Concluída,15,18,3.0,Kwid
107,user_642,driver_113,Belo Horizonte,MG,2024-10-21 15:08:00,2024-10-21 15:16:00,2024-10-21 15:58:00,24.76,41.8,1.5,20.9,1.73,1.72,62.69,Uber Comfort,Dinheiro,Em andamento,8,42,4.4,HB20
108,user_181,driver_225,Porto Alegre,MG,2024-11-02 08:47:00,2024-11-02 08:48:00,2024-11-02 09:41:00,4.4,8.26,1.0,0.0,3.42,3.51,8.35,UberX,Dinheiro,Concluída,1,53,5.0,Civic
109,user_487,driver_278,Brasília,SP,2024-08-23 04:22:00,2024-08-23 04:33:00,2024-08-23 05:12:00,18.93,31.03,1.0,0.0,3.9,6.82,33.95,Uber Comfort,Cartão,Concluída,11,39,4.2,Gol
110,user_938,driver_100,Porto Alegre,RJ,2024-10-20 07:04:00,2024-10-20 07:05:00,2024-10-20 07:24:00,9.78,26.93,1.0,0.0,2.65,8.56,32.84,Uber Black,Dinheiro,Concluída,1,19,3.6,Compass
111,user_144,driver_312,Salvador,RS,2024-02-02 13:46:00,2024-02-02 14:00:00,2024-02-02 14:55:00,13.16,27.74,1.5,13.87,2.61,3.67,42.67,UberX,Dinheiro,Cancelada,14,55,3.3,Corolla
112,user_521,driver_543,Porto Alegre,PE,2024-10-03 20:45:00,2024-10-03 20:46:00,2024-10-03 20:56:00,19.2,38.69,1.0,0.0,2.98,9.03,44.74,Uber Comfort,Pix,Concluída,1,10,3.7,Argo
113,user_275,driver_490,Porto Alegre,MG,2024-12-27 10:18:00,2024-12-27 10:27:00,2024-12-27 10:41:00,8.17,15.45,1.0,0.0,4.43,8.62,19.64,UberX,Cartão,Cancelada,9,14,3.1,Civic
114,user_1107,driver_539,Curitiba,BA,2024-06-22 10:22:00,2024-06-22 10:26:00,2024-06-22 11:18:00,12.27,27.3,2.0,27.3,0.52,2.65,56.73,UberX,Cartão,Concluída,4,52,3.4,Compass
115,user_964,driver_130,Belo Horizonte,DF,2024-09-04 21:00:00,2024-09-04 21:02:00,2024-09-04 21:50:00,10.18,18.63,2.0,18.63,3.23,9.78,43.81,Uber Black,Dinheiro,Concluída,2,48,3.5,Argo
116,user_178,driver_386,Salvador,RS,2024-09-13 05:41:00,2024-09-13 05:47:00,2024-09-13 06:38:00,7.43,18.0,1.0,0.0,1.81,1.37,17.56,UberX,Cartão,Concluída,6,51,4.2,Gol
117,user_810,driver_189,Belo Horizonte,DF,2024-05-06 12:39:00,2024-05-06 12:47:00,2024-05-06 13:33:00,25.31,47.44,1.0,0.0,2.05,2.94,48.33,Uber Black,Pix,Concluída,8,46,3.8,Creta
